Albuquerque, NM|505
Atlanta, GA|404,678,770
Austin, TX|512
Baltimore, MD|410,240,301,443
Boston, MA|339,508,617,774,781,857,978
Charlotte, NC|704,980
Chicago, IL|312,217,224,630,708,773,815,847,872
Cleveland, OH|216,440
Colorado Springs, CO|719
Columbus, OH|614,740
Dallas, TX|214,469,682,817,972
Denver, CO|303,720
Detroit, MI|313,248,586,734,810
El Paso, TX|915
Fort Worth, TX|817,214,682,972
Fresno, CA|559,209
Houston, TX|713,281,832
Indianapolis, IN|317,765
Jacksonville, FL|904
Kansas City, MO|816
Las Vegas, NV|702,775
Long Beach, CA|562,310,323,424,714
Los Angeles, CA|323,213,310,424,562,626,818,805
Louisville, KY|502
Memphis, TN|901
Mesa, AZ|480,928
Miami, FL|305,786
Milwaukee, WI|414,262,920
Minneapolis, MN|612,651,763,952
Nashville, TN|615
New Orleans, LA|504,985
New York, NY|212,347,646,718,917
Oakland, CA|510,415,530,925,650
Oklahoma City, OK|405,580
Omaha, NE|402
Philadelphia, PA|215,267,484,610
Phoenix, AZ|602,480,520,623,928
Portland, OR|503,971
Raleigh, NC|919
Sacramento, CA|916,530
San Antonio, TX|210,830
San Diego, CA|619,760,858
San Francisco, CA|415,510,650
San Jose, CA|408,510,650
Seattle, WA|206,253,360,425
Tucson, AZ|520,928
Tulsa, OK|918
Virginia Beach, VA|757
Washington, DC|202,703
Wichita, KS|316
